text,user,hashtags,tweet_creation_date,retweets,favs
La tecnología de la realidad virtual está revolucionando la forma en que experimentamos los videojuegos. #tecnología #videojuegos,gamers_unidos,"tecnología,videojuegos",2023-03-13 16:45:00,23,87
"Apple anuncia el lanzamiento de su nuevo iPhone 15 con cámara mejorada y pantalla OLED de 6,7 pulgadas. #Apple #iPhone15",tech_news,"Apple,iPhone15",2023-03-12 10:30:00,234,1876
Google presenta su nuevo asistente virtual con inteligencia artificial que permite controlar el hogar desde el smartphone. #Google #hogarinteligente,tech_guru,"Google,hogarinteligente",2023-03-11 15:20:00,78,489
La empresa de tecnología SpaceX anuncia el lanzamiento de su primer vuelo comercial a la luna. #SpaceX #vuelolunar,espaciofan,"SpaceX,vuelolunar",2023-03-10 13:10:00,109,732
El nuevo dron de DJI es capaz de grabar video en 8K y tiene un tiempo de vuelo de hasta 45 minutos. #drones #tecnología,dron_adicto,"drones,tecnología",2023-03-09 17:05:00,45,256
La empresa de tecnología Nvidia lanza su nueva tarjeta gráfica RTX 5080 con 24 GB de memoria y capacidad de ray tracing en tiempo real. #Nvidia #tarjetagráfica,pc_master_race,"Nvidia,tarjetagráfica",2023-03-08 11:55:00,167,1045
Nuevo iPhone 13 con pantalla de 120Hz,tech_news,"iPhone,tecnologia",2022-02-27 10:20:30,50,150
La próxima generación de procesadores Intel promete un gran avance en rendimiento,tech_world,"Intel,procesadores",2022-02-26 08:30:15,120,250
Samsung presenta su nuevo teléfono plegable,smartphone_lover,"Samsung,eléfonos plegables",2022-02-25 15:45:00,30,80
Apple presenta su nueva línea de MacBook Pro con chip M2,apple_news,"MacBook,Apple",2022-02-24 12:10:05,80,200
Google anuncia nuevas herramientas para desarrolladores de Android,android_dev,"Android,desarrollo",2022-02-23 09:00:20,40,100
Elon Musk anuncia un nuevo lanzamiento de cohetes de SpaceX,spacex_fan,"SpaceX,Elon Musk",2022-02-22 14:30:45,120,300
Microsoft lanza una actualización importante para Windows 11,windows_user,"Windows,actualización",2022-02-21 11:40:10,60,150
El gigante tecnológico Apple presenta su nueva línea de productos en un evento virtual. Entre las novedades se encuentran el nuevo iPhone y el Apple Watch Series 8. #AppleEvent #nuevosproductos,appleguru,"AppleEvent,nuevosproductos",2023-03-11 10:30:00,652,4121
"La inteligencia artificial está cada vez más presente en nuestras vidas, ¿pero sabemos realmente cómo funciona? En nuestro último artículo explicamos todo sobre esta tecnología. #inteligenciaartificial #IA",tecnologíainfo,"inteligenciaartificial,IA",2023-03-11 15:20:00,34,93
La tecnología blockchain está revolucionando la forma en que se realizan las transacciones financieras. Descubre todo lo que necesitas saber sobre esta tecnología en nuestro último artículo. #blockchain #criptomonedas,criptoinfo,"blockchain,criptomonedas",2023-03-12 09:45:00,51,189
Los avances en tecnología permiten crear prótesis cada vez más sofisticadas y precisas. En nuestro último artículo hablamos sobre algunos de los desarrollos más innovadores en este campo. #prótesis #tecnología,innovatech,"prótesis,tecnología",2023-03-12 14:15:00,23,64
La tecnología de realidad aumentada se está convirtiendo en una herramienta indispensable para los diseñadores de moda. Descubre cómo se está utilizando esta tecnología en nuestro último artículo. #realidadaumentada #moda,fashiontech,"realidadaumentada,moda",2023-03-13 11:00:00,45,167
"La tecnología de reconocimiento facial está siendo utilizada en muchos ámbitos, pero ¿es realmente segura? En nuestro último artículo analizamos los riesgos de esta tecnología y cómo se pueden mitigar. #reconocimientofacial #seguridad",seguridadtech,"reconocimientofacial,seguridad",2023-03-13 15:30:00,87,312
La tecnología 5G está revolucionando la forma en que nos conectamos a internet. En nuestro último artículo te explicamos todo lo que necesitas saber sobre esta nueva tecnología. #tecnología5G #internet,conexiónveloz,"tecnología5G,internet",2023-03-14 10:00:00,75,245
La tecnología de la nube ha transformado la forma en que almacenamos y compartimos información. En nuestro último artículo te explicamos todo lo que necesitas saber sobre esta tecnología. #tecnologíadelanube #almacenamiento,cloudtech,"tecnologíadelanube,almacenamiento",2023-03-14 14:30:00,40,132
La tecnología de la realidad virtual está transformando la forma en que experimentamos el entretenimiento. En nuestro último artículo te contamos todo lo que necesitas saber sobre esta tecnología. #realidadvirtual #entretenimiento,entertech,"realidadvirtual,entretenimiento",2023-03-15 09:15:00,52,189
"La tecnología de los drones está siendo utilizada en muchos ámbitos, desde la entrega de paquetes hasta la vigilancia. En nuestro último artículo te explicamos todo lo que necesitas saber sobre esta tecnología. #drones #tecnología",dronetech,"drones,tecnología",2023-03-15 15:00:00,29,96
La tecnología de la inteligencia artificial está transformando la forma en que las empresas toman decisiones. En nuestro último artículo te contamos todo lo que necesitas saber sobre esta tecnología. #inteligenciaartificial #empresas,businessai,"inteligenciaartificial,empresas",2023-03-16 11:20:00,62,215
La tecnología de la biometría está siendo utilizada para mejorar la seguridad en muchos ámbitos. En nuestro último artículo te explicamos todo lo que necesitas saber sobre esta tecnología. #biometría #seguridad,biotech,"biometría,seguridad",2023-03-16 16:45:00,47,1